Nível	Ordem	Bloco	Tópico Principal	Subtópicos / Conteúdo	Status	Prioridade	Material Gerado	Flashcards	Exercícios	Teste	Revisado
A1	1	Primeiros passos profissionais	Sons, alfabeto e nomes técnicos	Alfabeto inglês; soletrar nome, e-mail, GitHub e nomes de arquivos; sons difíceis para brasileiros; letras em siglas como API, UI, URL, SQL; pedir repetição: Can you spell that?	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	2	Primeiros passos profissionais	Cumprimentos e apresentações	Hello, hi, good morning; apresentar-se como software engineer/developer; dizer nome, país, cidade, empresa e função; Nice to meet you; cumprimentos em chat e chamada	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	3	Primeiros passos profissionais	Verbo to be no trabalho	I am, you are, he is; contrações; frases sobre cargo, time e localização; perguntas simples: Are you a developer? Is she a QA engineer?	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	4	Primeiros passos profissionais	Pronomes pessoais e possessivos	I, you, he, she, it, we, they; my, your, his, her, our, their; referir-se a colegas, times, repositórios e ferramentas; it para sistema, app, bug e feature	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	5	Primeiros passos profissionais	Artigos e substantivos básicos	A/an/the; singular e plural; objetos do ambiente de trabalho: laptop, keyboard, screen, meeting, ticket, branch; plurais regulares e irregulares frequentes	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	6	Primeiros passos profissionais	Números, datas e horários	Números 0-1000; horários de reunião; datas de sprint; versões simples; timezone básico; marcar stand-up: at 9, on Monday, in June	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	7	Primeiros passos profissionais	Vocabulário essencial de software	Code, app, website, server, database, user, password, login, file, folder, error, test; reconhecer palavras transparentes e falsos cognatos iniciais	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	8	Primeiros passos profissionais	Comandos simples e imperativos	Open, close, click, type, run, save, send, check, create, delete; instruções curtas em ferramentas; please e polite commands	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	9	Rotina e ambiente	Presente simples: rotina de trabalho	I work, I write code, I test, I deploy; hábitos diários; do/does em perguntas; negativas: I don't use Windows	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	10	Rotina e ambiente	Rotina de um desenvolvedor	Daily stand-up, code review, lunch break, focus time; advérbios de frequência: always, usually, often, sometimes, never; descrever uma semana simples	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	11	Rotina e ambiente	There is/there are no escritório e no sistema	Descrever ambiente físico e digital: There is a bug; There are three files; perguntas e negativas; quantidade com some/any	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	12	Rotina e ambiente	Preposições de lugar e interface	In, on, at, under, next to, between; localização em tela e arquivos: in the folder, on the page, at the top, next to the button	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	13	Rotina e ambiente	Adjetivos básicos para tecnologia	Fast, slow, new, old, easy, hard, simple, complex, safe, public, private; ordem simples de adjetivos; descrever ferramentas e problemas	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	14	Rotina e ambiente	Perguntas WH essenciais	What, where, when, who, why, how; perguntas sobre tarefas, reuniões e bugs; respostas curtas e completas	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	15	Rotina e ambiente	E-mails e mensagens muito simples	Assunto curto; Hi/Hello; Thanks; Best regards; pedir informação simples; avisar disponibilidade; mensagens de Slack/Teams	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	16	Rotina e ambiente	Can/can't para habilidades e permissões	I can fix it; Can you join?; We can't deploy now; habilidades técnicas; pedir ajuda; permissões em sistemas	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	17	Ferramentas e ações	Presente contínuo: o que está acontecendo agora	I am debugging; The build is running; They are testing; diferença inicial entre rotina e ação atual; status em stand-up	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	18	Ferramentas e ações	Verbos de ação em desenvolvimento	Write, read, review, merge, push, pull, build, test, fix, update, install; frases afirmativas, negativas e perguntas simples	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	19	Ferramentas e ações	Vocabulário de computador e ferramentas	Laptop, monitor, terminal, browser, editor, IDE, repository, ticket, board, pipeline; nomes contáveis e incontáveis básicos	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	20	Ferramentas e ações	Arquivos, pastas e caminhos	File names, extensions, paths, root folder, config file; dizer onde algo está; comandos de localização; preposições com diretórios	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	21	Ferramentas e ações	Problemas simples e suporte	It doesn't work; I have an error; The page is slow; login problem; password reset; pedir ajuda com clareza básica	Concluído	Alta	Sim	Sim	Sim	Sim	
A1	22	Ferramentas e ações	Likes, preferences e escolhas de ferramentas	I like, I prefer, I use; comparações muito simples: better/easier; falar de linguagem, editor, sistema operacional e framework preferido	Concluído	Média	Sim	Sim	Sim	Sim	
A1	23	Ferramentas e ações	Countable e uncountable em contexto técnico	A file, an issue, some code, information, data, software; much/many; evitar erros com informations/softwares	Concluído	Alta	Sim	Sim	Sim	Sim	
